id,state,district,village,asset_type,asset_name,asset_holder_name,area_ha,ndvi,ndwi,confidence_score,gps_lat,gps_lon,status,last_survey_date,notes,Jal_Jeevan_Mission,MGNREGA,DAJGUA
46,Telangana,Nizamabad,Shlokpur,community_tap,Shlokpur Community_Tap,Divit Gulati,4.09,0.753,0.215,0.82,20.105335,80.020296,seasonal,2025-05-09,Jal Jeevan Mission asset verified under field survey,yes,no,no
47,Odisha,Koraput,Daminipur,water_tank,Daminipur Water_Tank,Myra Varty,1.71,0.694,0.535,0.8,19.014319,82.772377,seasonal,2025-08-19,Jal Jeevan Mission asset verified under field survey,yes,no,no
48,Telangana,Nizamabad,Gatikpur,irrigation_channel,Gatikpur Irrigation_Channel,Aarush Iyer,0.5,0.757,0.231,0.96,20.379937,88.616492,active,2025-08-08,DAJGUA asset verified under field survey,no,no,yes
49,Telangana,Karimnagar,Hanshpur,pipeline,Hanshpur Pipeline,Ahana  Buch,1.77,0.542,0.652,0.96,22.767304,82.87497,active,2025-02-27,Jal Jeevan Mission asset verified under field survey,yes,no,no
50,Tripura,Belonia,Tejaspur,plantation,Tejaspur Plantation,Amira Gupta,3.15,0.336,0.368,0.95,25.225983,85.030213,good,2025-07-30,MGNREGA asset verified under field survey,no,yes,no
51,Odisha,Balasore,Mannatpur,farm_pond,Mannatpur Farm_Pond,Mehul Yadav,4.81,0.834,0.544,0.9,18.094444,81.092773,seasonal,2025-02-27,MGNREGA asset verified under field survey,no,yes,no
52,Telangana,Nizamabad,Yakshitpur,water_tank,Yakshitpur Water_Tank,Mishti Dubey,3.94,0.275,0.274,0.86,26.547197,92.75931,needs repair,2025-06-19,Jal Jeevan Mission asset verified under field survey,yes,no,no
53,Madhya Pradesh,Indore,Samihapur,solar_pump,Samihapur Solar_Pump,Ayesha Bhandari,4.36,0.716,0.218,0.87,17.170876,79.737678,seasonal,2025-06-29,DAJGUA asset verified under field survey,no,no,yes
54,Madhya Pradesh,Rewa,Vidurpur,pipeline,Vidurpur Pipeline,Vivaan Mangat,3.74,0.146,0.552,0.95,24.417313,81.679799,seasonal,2025-08-09,Jal Jeevan Mission asset verified under field survey,yes,no,no
55,Tripura,Kailashahar,Mehulpur,check_dam,Mehulpur Check_Dam,Divit Venkataraman,0.78,0.493,0.622,0.93,21.025305,77.862043,needs repair,2025-03-16,MGNREGA asset verified under field survey,no,yes,no
56,Telangana,Nizamabad,Abrampur,community_tap,Abrampur Community_Tap,Siya Chana,1.24,0.621,0.337,0.96,18.990907,78.355509,active,2025-09-17,Jal Jeevan Mission asset verified under field survey,yes,no,no
57,Telangana,Karimnagar,Kiaanpur,community_tap,Kiaanpur Community_Tap,Shanaya Raman,3.72,0.66,0.645,0.88,24.965524,85.383046,seasonal,2025-09-07,Jal Jeevan Mission asset verified under field survey,yes,no,no
58,Odisha,Bhubaneswar,Kismatpur,water_tank,Kismatpur Water_Tank,Ahana  Ganesh,3.84,0.136,0.447,0.82,22.49412,75.394569,needs repair,2025-01-15,Jal Jeevan Mission asset verified under field survey,yes,no,no
59,Odisha,Cuttack,Kairapur,plantation,Kairapur Plantation,Vedika Sur,2.05,0.796,0.033,0.87,20.679029,80.321998,seasonal,2025-05-17,MGNREGA asset verified under field survey,no,yes,no
60,Tripura,Udaipur,Vedikapur,community_tap,Vedikapur Community_Tap,Baiju Tailor,0.35,0.791,0.629,0.86,26.004677,81.551667,active,2025-07-15,Jal Jeevan Mission asset verified under field survey,yes,no,no
61,Madhya Pradesh,Rewa,Aarushpur,water_tank,Aarushpur Water_Tank,Ivana Madan,1.33,0.054,0.386,0.81,22.866557,92.302037,seasonal,2025-06-19,Jal Jeevan Mission asset verified under field survey,yes,no,no
62,Tripura,Belonia,Urvipur,farm_pond,Urvipur Farm_Pond,Siya Sagar,4.32,0.384,0.036,0.82,20.91087,82.387186,needs repair,2025-02-20,MGNREGA asset verified under field survey,no,yes,no
63,Madhya Pradesh,Ujjain,Elakshipur,plantation,Elakshipur Plantation,Elakshi Virk,2.06,0.223,0.135,0.96,25.925202,84.156099,good,2025-06-14,MGNREGA asset verified under field survey,no,yes,no
64,Madhya Pradesh,Indore,Divitpur,community_tap,Divitpur Community_Tap,Alia Kala,2.56,0.306,0.575,0.82,17.995405,82.107099,active,2025-06-25,Jal Jeevan Mission asset verified under field survey,yes,no,no
65,Odisha,Koraput,Jivinpur,micro_reservoir,Jivinpur Micro_Reservoir,Ishaan Bansal,3.12,0.796,0.011,0.83,26.479639,87.905026,good,2025-04-13,DAJGUA asset verified under field survey,no,no,yes
66,Odisha,Sambalpur,Dhanukpur,plantation,Dhanukpur Plantation,Riya Srivastava,2.24,0.177,0.459,0.9,19.468021,76.370424,needs repair,2025-01-10,MGNREGA asset verified under field survey,no,yes,no
67,Madhya Pradesh,Ujjain,Prerakpur,micro_reservoir,Prerakpur Micro_Reservoir,Mahika Iyengar,4.91,0.481,0.454,0.81,21.152025,84.114454,good,2025-03-19,DAJGUA asset verified under field survey,no,no,yes
68,Odisha,Bhubaneswar,Tarinipur,pipeline,Tarinipur Pipeline,Riaan Barad,3.4,0.64,0.442,0.86,23.918057,84.061703,good,2025-01-12,Jal Jeevan Mission asset verified under field survey,yes,no,no
69,Odisha,Balasore,Nitarapur,solar_pump,Nitarapur Solar_Pump,Sana Bassi,4.36,0.87,0.508,0.95,18.211577,89.657104,active,2025-07-13,DAJGUA asset verified under field survey,no,no,yes
70,Odisha,Puri,Vardaniyapur,solar_pump,Vardaniyapur Solar_Pump,Hunar Raval,3.23,0.803,0.403,0.94,18.633274,83.034226,good,2025-03-01,DAJGUA asset verified under field survey,no,no,yes
71,Madhya Pradesh,Bhopal,Sakshampur,solar_pump,Sakshampur Solar_Pump,Urvi Chandra,4.01,0.831,0.498,0.85,24.912989,79.652408,active,2025-07-02,DAJGUA asset verified under field survey,no,no,yes
72,Telangana,Khammam,Vaibhavpur,check_dam,Vaibhavpur Check_Dam,Lagan Bera,1.55,0.712,0.299,0.86,20.226073,90.568594,active,2025-08-27,MGNREGA asset verified under field survey,no,yes,no
73,Madhya Pradesh,Gwalior,Aaravpur,farm_pond,Aaravpur Farm_Pond,Nirvaan Boase,2.8,0.483,0.238,0.97,19.442289,86.708074,active,2025-03-24,MGNREGA asset verified under field survey,no,yes,no
74,Telangana,Khammam,Riyapur,irrigation_channel,Riyapur Irrigation_Channel,Tejas Savant,4.46,0.268,0.453,0.82,18.680959,92.706543,needs repair,2025-07-12,DAJGUA asset verified under field survey,no,no,yes
75,Telangana,Khammam,Nityapur,micro_reservoir,Nityapur Micro_Reservoir,Ira Kala,1.96,0.468,0.615,0.97,18.694423,84.683383,seasonal,2025-06-17,DAJGUA asset verified under field survey,no,no,yes
76,Telangana,Hyderabad,Advikpur,check_dam,Advikpur Check_Dam,Anahita Banik,0.69,0.567,0.637,0.99,26.297473,75.566209,good,2025-03-26,MGNREGA asset verified under field survey,no,yes,no
77,Telangana,Hyderabad,Keyapur,solar_pump,Keyapur Solar_Pump,Kiara Chaudhry,3.97,0.553,0.454,0.85,26.857419,76.734317,needs repair,2025-08-06,DAJGUA asset verified under field survey,no,no,yes
78,Odisha,Cuttack,Mishapur,water_tank,Mishapur Water_Tank,Navya Thaman,4.59,0.129,0.639,0.97,21.750891,78.016763,needs repair,2025-08-28,Jal Jeevan Mission asset verified under field survey,yes,no,no
79,Tripura,Dharmanagar,Badalpur,community_tap,Badalpur Community_Tap,Lavanya Karan,3.99,0.257,0.482,0.86,21.421018,82.360715,seasonal,2025-02-01,Jal Jeevan Mission asset verified under field survey,yes,no,no
80,Madhya Pradesh,Ujjain,Ojaspur,micro_reservoir,Ojaspur Micro_Reservoir,Rania Bal,4.52,0.891,0.479,0.91,21.026342,77.169048,active,2025-02-08,DAJGUA asset verified under field survey,no,no,yes
81,Odisha,Puri,Mahikapur,check_dam,Mahikapur Check_Dam,Kaira Sahni,0.7,0.594,0.369,0.84,20.704942,84.369648,good,2025-08-22,MGNREGA asset verified under field survey,no,yes,no
82,Tripura,Belonia,Parinaazpur,water_tank,Parinaazpur Water_Tank,Saira Bawa,1.11,0.349,0.517,0.98,25.283544,88.830624,active,2025-08-15,Jal Jeevan Mission asset verified under field survey,yes,no,no
83,Madhya Pradesh,Satna,Zarapur,check_dam,Zarapur Check_Dam,Advik Thaman,3.25,0.856,0.582,0.87,24.264706,78.698771,needs repair,2025-02-10,MGNREGA asset verified under field survey,no,yes,no
84,Tripura,Belonia,Navyapur,solar_pump,Navyapur Solar_Pump,Anaya Jain,2.81,0.231,0.517,0.84,20.38604,80.021633,good,2025-03-13,DAJGUA asset verified under field survey,no,no,yes
85,Tripura,Dharmanagar,Samairapur,irrigation_channel,Samairapur Irrigation_Channel,Kabir Uppal,1.46,0.567,0.326,0.97,25.214579,77.441514,needs repair,2025-04-13,DAJGUA asset verified under field survey,no,no,yes
86,Odisha,Koraput,Adahpur,check_dam,Adahpur Check_Dam,Mehul Rama,3.74,0.594,0.086,0.82,18.232371,80.587323,good,2025-08-24,MGNREGA asset verified under field survey,no,yes,no
87,Odisha,Cuttack,Jayantpur,solar_pump,Jayantpur Solar_Pump,Aarna Rana,2.63,0.585,0.019,0.92,22.003683,85.256241,active,2025-08-30,DAJGUA asset verified under field survey,no,no,yes
88,Madhya Pradesh,Ujjain,Elapur,water_tank,Elapur Water_Tank,Anahi Madan,0.58,0.305,0.574,0.89,22.877337,77.864568,good,2025-06-03,Jal Jeevan Mission asset verified under field survey,yes,no,no
89,Odisha,Puri,Priyanshpur,pipeline,Priyanshpur Pipeline,Zeeshan Thakur,3.91,0.51,0.141,0.85,20.370063,81.798264,good,2025-06-02,Jal Jeevan Mission asset verified under field survey,yes,no,no
90,Tripura,Kailashahar,Hunarpur,irrigation_channel,Hunarpur Irrigation_Channel,Hunar Jani,0.91,0.659,0.538,0.84,25.419604,77.076241,needs repair,2025-09-09,DAJGUA asset verified under field survey,no,no,yes
91,Odisha,Puri,Aainapur,plantation,Aainapur Plantation,Jhanvi Biswas,3.69,0.06,0.56,0.98,22.125325,89.686242,needs repair,2025-01-31,MGNREGA asset verified under field survey,no,yes,no
92,Madhya Pradesh,Rewa,Gokulpur,water_tank,Gokulpur Water_Tank,Anahi Dhingra,4.37,0.391,0.636,0.91,22.682523,92.97099,active,2025-02-10,Jal Jeevan Mission asset verified under field survey,yes,no,no
93,Odisha,Puri,Shanayapur,check_dam,Shanayapur Check_Dam,Anya Sidhu,2.6,0.755,0.518,0.88,26.845552,75.863416,good,2025-01-28,MGNREGA asset verified under field survey,no,yes,no
94,Telangana,Karimnagar,Yuvaanpur,water_tank,Yuvaanpur Water_Tank,Shanaya Loyal,4.34,0.178,0.316,0.86,20.631607,89.19715,good,2025-08-15,Jal Jeevan Mission asset verified under field survey,yes,no,no
95,Tripura,Belonia,Nayantarapur,community_tap,Nayantarapur Community_Tap,Vihaan Comar,2.98,0.216,0.559,0.98,22.94861,92.749762,needs repair,2025-04-15,Jal Jeevan Mission asset verified under field survey,yes,no,no
96,Tripura,Belonia,Yashvipur,micro_reservoir,Yashvipur Micro_Reservoir,Advik Raju,4.9,0.322,0.378,0.89,18.081523,77.453379,seasonal,2025-08-30,DAJGUA asset verified under field survey,no,no,yes
97,Telangana,Warangal,Bijupur,micro_reservoir,Bijupur Micro_Reservoir,Aayush Saraf,1.75,0.053,0.642,0.98,19.670189,85.02445,good,2025-02-27,DAJGUA asset verified under field survey,no,no,yes
98,Odisha,Sambalpur,Madhavpur,check_dam,Madhavpur Check_Dam,Ojas Borah,2.29,0.416,0.53,0.91,24.196221,89.937878,active,2025-01-09,MGNREGA asset verified under field survey,no,yes,no
99,Odisha,Puri,Aayushpur,solar_pump,Aayushpur Solar_Pump,Dharmajan Sandal,0.54,0.499,0.32,0.83,24.796628,91.410866,active,2025-08-15,DAJGUA asset verified under field survey,no,no,yes
100,Telangana,Nizamabad,Pihupur,irrigation_channel,Pihupur Irrigation_Channel,Kismat Shah,1.7,0.831,0.368,0.8,23.270792,84.013555,needs repair,2025-08-15,DAJGUA asset verified under field survey,no,no,yes
101,Telangana,Nizamabad,Rashapur,water_tank,Rashapur Water_Tank,Vivaan Chowdhury,1.65,0.637,0.467,0.93,17.05666,80.038979,seasonal,2025-02-11,Jal Jeevan Mission asset verified under field survey,yes,no,no
102,Telangana,Khammam,Ratipur,water_tank,Ratipur Water_Tank,Eva Shah,4.33,0.73,0.697,0.9,25.57535,88.586849,needs repair,2025-06-25,Jal Jeevan Mission asset verified under field survey,yes,no,no
103,Tripura,Agartala,Shraypur,community_tap,Shraypur Community_Tap,Ishaan Sehgal,1.27,0.726,0.66,0.82,25.627941,88.997195,needs repair,2025-05-08,Jal Jeevan Mission asset verified under field survey,yes,no,no
104,Telangana,Warangal,Tanyapur,water_tank,Tanyapur Water_Tank,Biju Bala,2.74,0.563,0.031,0.95,20.124317,78.49551,active,2025-05-22,Jal Jeevan Mission asset verified under field survey,yes,no,no
105,Madhya Pradesh,Ujjain,Aaryahipur,farm_pond,Aaryahipur Farm_Pond,Onkar Mangal,0.52,0.273,0.147,0.83,23.80197,90.194531,needs repair,2025-08-21,MGNREGA asset verified under field survey,no,yes,no
106,Telangana,Khammam,Aniruddhpur,farm_pond,Aniruddhpur Farm_Pond,Vivaan Upadhyay,4.66,0.102,0.329,0.92,26.465165,93.336055,good,2025-05-18,MGNREGA asset verified under field survey,no,yes,no
107,Telangana,Khammam,Kimayapur,irrigation_channel,Kimayapur Irrigation_Channel,Ryan Chakraborty,3.47,0.318,0.234,0.82,20.01599,91.367821,good,2025-03-01,DAJGUA asset verified under field survey,no,no,yes
108,Tripura,Kailashahar,Neysapur,micro_reservoir,Neysapur Micro_Reservoir,Rania Sekhon,3.93,0.645,0.135,0.91,21.392611,81.593307,good,2025-06-14,DAJGUA asset verified under field survey,no,no,yes
109,Madhya Pradesh,Bhopal,Yasminpur,water_tank,Yasminpur Water_Tank,Sara Gera,2.27,0.338,0.647,0.92,19.004118,75.374349,needs repair,2025-09-02,Jal Jeevan Mission asset verified under field survey,yes,no,no
110,Odisha,Bhubaneswar,Jiyapur,community_tap,Jiyapur Community_Tap,Vidur Gulati,1.95,0.482,0.459,0.9,22.551082,78.710482,needs repair,2025-03-31,Jal Jeevan Mission asset verified under field survey,yes,no,no
111,Odisha,Puri,Siyapur,plantation,Siyapur Plantation,Amani Bhargava,2.03,0.232,0.63,0.92,25.304734,85.724974,good,2025-03-27,MGNREGA asset verified under field survey,no,yes,no
112,Odisha,Koraput,Veerpur,water_tank,Veerpur Water_Tank,Zain Chakraborty,1.63,0.318,0.189,0.88,25.765762,80.548409,active,2025-01-29,Jal Jeevan Mission asset verified under field survey,yes,no,no
113,Odisha,Puri,Aarnapur,check_dam,Aarnapur Check_Dam,Rania Bandi,0.62,0.726,0.457,0.85,21.211591,79.760875,good,2025-03-18,MGNREGA asset verified under field survey,no,yes,no
114,Tripura,Dharmanagar,Shaanpur,community_tap,Shaanpur Community_Tap,Adira Dixit,0.83,0.162,0.174,0.95,24.934367,92.931158,active,2025-06-07,Jal Jeevan Mission asset verified under field survey,yes,no,no
115,Madhya Pradesh,Ujjain,Shalvpur,pipeline,Shalvpur Pipeline,Anya Bal,2.65,0.267,0.503,0.81,21.576612,87.639875,good,2025-04-20,Jal Jeevan Mission asset verified under field survey,yes,no,no
116,Odisha,Sambalpur,Sanapur,irrigation_channel,Sanapur Irrigation_Channel,Shaan Hari,4.95,0.725,0.284,0.91,18.997008,78.657614,needs repair,2025-08-24,DAJGUA asset verified under field survey,no,no,yes
117,Tripura,Agartala,Jayanpur,farm_pond,Jayanpur Farm_Pond,Zain Das,4.71,0.831,0.276,0.84,24.277366,84.585629,active,2025-08-25,MGNREGA asset verified under field survey,no,yes,no
118,Telangana,Hyderabad,Jayeshpur,farm_pond,Jayeshpur Farm_Pond,Lakshit Kaul,2.13,0.347,0.566,0.86,19.887278,82.481372,needs repair,2025-01-30,MGNREGA asset verified under field survey,no,yes,no
119,Tripura,Kailashahar,Fatehpur,water_tank,Fatehpur Water_Tank,Nitya Dhawan,2.64,0.193,0.577,0.91,25.729602,83.117429,good,2025-04-11,Jal Jeevan Mission asset verified under field survey,yes,no,no
120,Madhya Pradesh,Jabalpur,Khushipur,check_dam,Khushipur Check_Dam,Kavya Sami,0.88,0.474,0.417,0.85,25.520097,86.302974,needs repair,2025-06-07,MGNREGA asset verified under field survey,no,yes,no
121,Madhya Pradesh,Gwalior,Manjaripur,irrigation_channel,Manjaripur Irrigation_Channel,Rasha Agate,1.54,0.108,0.551,0.86,18.01751,76.227098,seasonal,2025-06-04,DAJGUA asset verified under field survey,no,no,yes
122,Telangana,Khammam,Raunakpur,micro_reservoir,Raunakpur Micro_Reservoir,Urvi Lad,3.53,0.052,0.695,0.87,22.804127,80.875228,needs repair,2025-02-25,DAJGUA asset verified under field survey,no,no,yes
123,Odisha,Puri,Anyapur,plantation,Anyapur Plantation,Anvi Virk,3.59,0.663,0.325,0.89,18.410101,93.518782,good,2025-04-06,MGNREGA asset verified under field survey,no,yes,no
124,Odisha,Koraput,Mamootypur,water_tank,Mamootypur Water_Tank,Ira Wable,0.36,0.363,0.27,0.97,19.039855,79.736929,active,2025-06-17,Jal Jeevan Mission asset verified under field survey,yes,no,no
125,Telangana,Khammam,Arnavpur,pipeline,Arnavpur Pipeline,Nirvi Agate,2.44,0.065,0.194,0.83,18.43847,86.540366,needs repair,2025-01-07,Jal Jeevan Mission asset verified under field survey,yes,no,no
126,Odisha,Koraput,Rohanpur,solar_pump,Rohanpur Solar_Pump,Uthkarsh Seshadri,3.05,0.406,0.273,0.81,21.824034,78.728044,good,2025-01-19,DAJGUA asset verified under field survey,no,no,yes
127,Madhya Pradesh,Satna,Dishanipur,micro_reservoir,Dishanipur Micro_Reservoir,Myra Kapur,4.3,0.657,0.632,0.99,22.8978,78.864128,active,2025-04-15,DAJGUA asset verified under field survey,no,no,yes
128,Telangana,Warangal,Darshitpur,solar_pump,Darshitpur Solar_Pump,Kismat Kota,2.88,0.494,0.63,0.95,17.544866,79.274922,seasonal,2025-06-19,DAJGUA asset verified under field survey,no,no,yes
129,Telangana,Warangal,Sairapur,check_dam,Sairapur Check_Dam,Abram Date,2.42,0.146,0.519,0.91,22.802727,78.263909,seasonal,2025-04-22,MGNREGA asset verified under field survey,no,yes,no
130,Telangana,Hyderabad,Amirapur,irrigation_channel,Amirapur Irrigation_Channel,Riya Soman,4.6,0.64,0.46,0.98,19.627365,76.483978,needs repair,2025-05-17,DAJGUA asset verified under field survey,no,no,yes
131,Odisha,Koraput,Uthkarshpur,farm_pond,Uthkarshpur Farm_Pond,Aayush Bora,4.69,0.187,0.695,0.88,21.246147,88.378485,needs repair,2025-06-22,MGNREGA asset verified under field survey,no,yes,no
132,Odisha,Bhubaneswar,Pranaypur,check_dam,Pranaypur Check_Dam,Farhan Iyer,4.42,0.562,0.644,0.89,22.032785,82.783857,needs repair,2025-06-01,MGNREGA asset verified under field survey,no,yes,no
